OPENSFM_TRACKS_VERSION_v1
0005.png	3062	2727	0.00367808	-0.480525	0.00598378	141	141	129
0005.png	3061	2376	-0.00708318	-0.468061	0.00521433	171	160	145
0005.png	3060	3893	0.00150365	-0.37486	0.0127199	190	184	177
0005.png	3058	3892	0.00150365	-0.37486	0.0127199	190	184	177
0005.png	3057	2546	0.302704	-0.225245	0.00563332	221	226	219
0005.png	3056	3855	-0.0194609	0.0536986	0.0122145	144	142	135
0005.png	3055	4080	0.243651	-0.349916	0.0197934	146	152	144
0005.png	3053	3235	0.249456	-0.257965	0.00750524	143	152	159
0005.png	3052	3294	0.0749466	0.482463	0.00765715	128	124	118
0005.png	3051	341	0.168574	0.347306	0.00365873	92	90	80
0005.png	3050	1876	-0.00809976	-0.405069	0.00472838	150	144	125
0005.png	3046	2398	0.36249	-0.123577	0.00526873	84	84	83
0005.png	3045	634	0.373956	-0.37319	0.00381183	99	103	94
0005.png	3038	3163	0.333542	0.391953	0.00719967	109	108	103
0005.png	3035	1422	0.00260854	0.49229	0.00427577	61	70	51
0005.png	3034	1269	0.128607	-0.0716333	0.0041555	107	100	100
0005.png	3033	2033	0.29034	-0.215667	0.00486099	116	108	105
0005.png	3031	251	0.0303265	0.138068	0.00359813	93	91	87
0005.png	3029	1879	0.314898	-0.372143	0.00472859	135	139	130
0005.png	3027	765	-0.0644509	-0.399504	0.00386838	154	153	150
0005.png	3026	792	0.052923	-0.466872	0.00388182	177	169	159
0005.png	3025	3044	-0.0366581	-0.458334	0.00660349	154	152	147
0005.png	3023	22	0.0308084	-0.25059	0.00331101	130	125	117
0005.png	3021	2019	0.23198	-0.404877	0.0048526	100	102	96
0005.png	3019	2220	0.306218	-0.247173	0.00504181	143	152	160
0005.png	3018	2399	0.268189	-0.224227	0.00527074	223	226	224
0005.png	3017	2557	0.418812	-0.0221303	0.00564896	163	180	150
0005.png	3016	664	0.0569263	0.482479	0.00382356	107	106	102
0005.png	3012	1798	0.0933738	0.00745326	0.00463942	204	209	211
0005.png	3010	1297	-0.0360601	-0.471992	0.00417085	143	139	133
0005.png	3009	4122	0.0839776	0.0567995	0.024242	73	87	56
0005.png	3040	207	0.0086953	0.0369261	0.00357353	164	158	145
0005.png	3008	3321	0.416185	0.0757039	0.00777683	79	86	61
0005.png	3005	1887	-0.0448927	0.0472781	0.0047371	115	115	100
0005.png	3004	1935	0.402698	0.494213	0.00477392	108	99	89
0005.png	3003	3420	-0.0145524	-0.453333	0.00821184	151	148	139
0005.png	3000	117	-0.0196023	-0.282778	0.00350102	81	92	65
0005.png	2999	3657	0.270272	-0.328893	0.00978774	144	156	164
0005.png	2998	2497	-0.0301461	0.486283	0.00549768	78	79	77
0005.png	2996	512	0.145601	-0.241037	0.00374372	89	85	85
0005.png	2994	3569	0.0390805	0.347925	0.00916675	0	0	0
0005.png	2991	3026	0.34624	-0.378271	0.00656502	116	115	103
0005.png	2988	725	0.00535953	-0.441966	0.0038499	203	197	190
0005.png	2984	1610	0.0768619	0.237213	0.00444226	124	120	113
0005.png	2983	1605	0.146582	0.272997	0.00443768	135	133	128
0005.png	2981	1989	0.190089	0.299633	0.00482459	123	121	109
